Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Origin_base,1.38482814297601,-0.00156794803559568,-0.0194438924210655,0,0,0,156.530801212744,0.686406369243221,-8.7788015821681E-05,-0.000683638269187829,88.8913416634242,4.58273275722229E-05,89.4670175454269,0,0,0,0,0,0,package://HRB3Q-LC/meshes/Origin_base.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://HRB3Q-LC/meshes/Origin_base.STL,,G-rail-1,Origin_base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Waist,-1.73788845931125E-06,4.09843367266127E-06,0.370335800513476,0,0,0,6.72739654383945,0.128578003326412,-5.48683858854331E-07,-4.67345241719499E-07,0.133920864364366,9.59504113242137E-07,0.0301155657919325,0,0,0,0,0,0,package://HRB3Q-LC/meshes/Waist.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://HRB3Q-LC/meshes/Waist.STL,,Waist-00 LC3-1,Waist,axis_Waist,Joint_Waist,prismatic,-0.00019091,0,0,0,0,0,Origin_base,1,0,0,0,0,0,0,,,,,,,,
Body,4.47428434235259E-06,0.0054149465977954,0.486320399815704,0,0,0,8.16174511256408,0.0252929798960977,-1.0950663478297E-06,-4.15230011161103E-08,0.0256844268395386,-0.000316649090724612,0.0170534363864611,0,0,0,0,0,0,package://HRB3Q-LC/meshes/Body.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://HRB3Q-LC/meshes/Body.STL,,Body-00 LC3-1,Body,axis_Body,Joint_Body,continuous,0,0,0.677,0,0,0,Waist,0,0,1,,,,,,,,,,,,
arml1,0.00580063706924105,9.87659063977908E-07,-0.0616956383818057,0,0,0,1.61566224015074,0.00196030121495102,-1.38256276011268E-07,8.43357389675001E-06,0.00171741953492753,-6.25531450059514E-07,0.00161972988952037,0,0,0,0,0,0,package://HRB3Q-LC/meshes/arml1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://HRB3Q-LC/meshes/arml1.STL,,arml1-1,Origin_arml1,axis_l1,Joint_l1,continuous,-0.1165,0,0.438,1.5708,0,1.5708,Body,0,0,-1,,,,,,,,,,,,
arml2,-2.47059370016844E-05,-0.098325724547618,-0.0486467427626263,0,0,0,1.12419379759845,0.00129406310927365,7.29198888563266E-07,5.6718333170603E-07,0.000889934404940177,-2.45973925912643E-06,0.00132499952054773,0,0,0,0,0,0,package://HRB3Q-LC/meshes/arml2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://HRB3Q-LC/meshes/arml2.STL,,arml2-1,Origin_arml2,axis_l2,Joint_l2,continuous,0.0505,0,-0.074,0,1.5708,0,arml1,0,0,1,,,,,,,,,,,,
arml3,0.00213058851469222,-2.46823754913583E-05,0.0935415880900397,0,0,0,1.08770349053362,0.00102523835664429,-7.46843828352358E-07,-1.92281400485864E-05,0.000857662232457349,2.4377308015211E-07,0.000775433253468383,0,0,0,0,0,0,package://HRB3Q-LC/meshes/arml3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://HRB3Q-LC/meshes/arml3.STL,,arml3-1,Origin_arml3,axis_l3,Joint_l3,continuous,0,-0.1455,-0.0505,-1.5708,0,3.1416,arml2,0,0,-1,,,,,,,,,,,,
arml4,0.0748563330855855,-5.36320221566911E-09,-0.0384400599653859,0,0,0,0.291945457019171,0.000202239159805527,-1.44965626685055E-09,-5.59680436849159E-06,0.000549607386399966,-5.7929870298915E-12,0.000551515013211078,0,0,0,0,0,0,package://HRB3Q-LC/meshes/arml4.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://HRB3Q-LC/meshes/arml4.STL,,arml4-1,Origin_arml4,axis_l4,Joint_l4,continuous,0.04,0,0.106,-1.5708,0,-1.5708,arml3,0,0,-1,,,,,,,,,,,,
arml5,7.79053707808675E-05,0.0015129197114605,0.0976562210058013,0,0,0,0.842824039046815,0.000594798314249688,7.24969454863584E-07,-1.39123716787588E-07,0.000663056683993988,-1.42528567733777E-05,0.000488816760765804,0,0,0,0,0,0,package://HRB3Q-LC/meshes/arml5.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://HRB3Q-LC/meshes/arml5.STL,,arml5-1,Origin_arml5,axis_l5,Joint_l5,continuous,0.144,0,-0.04,0,1.5708,0,arml4,0,0,-1,,,,,,,,,,,,
arml6,-3.87953496743532E-05,-0.0827611497194195,-0.0343557296795404,0,0,0,0.750716989226528,0.000613907914614685,7.60951912815651E-07,5.75923757561481E-07,0.000487830847304463,3.93672362183647E-06,0.000607071036365369,0,0,0,0,0,0,package://HRB3Q-LC/meshes/arml6.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://HRB3Q-LC/meshes/arml6.STL,,arml6-1,Origin_arml6,axis_l6,Joint_l6,continuous,0,0.036,0.113,-1.5708,0,0,arml5,0,0,-1,,,,,,,,,,,,
arml7,0.00137872677447914,-2.10185572045996E-05,0.0594139048805935,0,0,0,1.53968802705119,0.000614958585916074,1.04115297814328E-05,7.20653852709879E-08,0.00116160684632029,-1.14267122009406E-07,0.00132160556724999,0,0,0,0,0,0,package://HRB3Q-LC/meshes/arml7.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://HRB3Q-LC/meshes/arml7.STL,,arml7-1;HandL-1,Origin_arml7,axis_l7,Joint_l7,continuous,0,-0.12,-0.036,1.5708,0,0,arml6,0,0,-1,,,,,,,,,,,,
armr1,0.00580063707987277,-2.8414561215051E-06,0.0616934278468561,0,0,0,1.61566224032513,0.00196030121609016,-8.54412946097632E-07,-8.84705317059134E-06,0.00171816923667757,1.92687023734233E-07,0.00161898018995245,0,0,0,0,0,0,package://HRB3Q-LC/meshes/armr1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://HRB3Q-LC/meshes/armr1.STL,,armr1-1,Origin_armr1,axis_r1,Joint_r1,continuous,0.1165,0,0.438,1.5708,0,1.5708,Body,0,0,1,,,,,,,,,,,,
armr2,-2.47060097812446E-05,-0.0983257245428618,-0.0486467427829016,0,0,0,1.12419379715922,0.00129406309674369,7.27419999573231E-07,5.67183982914884E-07,0.000889934416743309,-2.45973975427885E-06,0.00132499952011308,0,0,0,0,0,0,package://HRB3Q-LC/meshes/armr2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://HRB3Q-LC/meshes/armr2.STL,,armr2-1,Origin_armr2,axis_r2,Joint_r2,continuous,0.0505,0,0.074,0,1.5708,0,armr1,0,0,1,,,,,,,,,,,,
